79.	SUN D’OR International Airlines (РИНГ-АВИА)	2U	383	5% от опубл. тарифов на собств. рейсы 2U (В договоре Interline отдельно не прописан.)				
3.	Нордавиа-РА	5N	316	7% от всех опубл. тарифов на рейсы 5N (В договоре Interline отдельно не прописан.)				
55.	ISRAIR AIRLINE	6H	818	7% от всех опубл. тарифов на рейсы 6H (В договоре Interline отдельно не прописан.)				
22.	ATLANT-SOYUZ	7B	499	"4% от всех опубл. тарифов на cобств. рейсы 7B
3% от всех опубл. тарифов на рейсы Interline"				
39.	DONBASSAERO	7D	897	"7% от всех опубл. тарифов на собств. рейсы 7D; 
5% от всех опубл. тарифов на рейсы Interline с участием собств. рейсов 7D; 
5% от всех опубл. тарифов на рейсы Interline без участия собств. рейсов 7D; "				
92.	WINDROSE	7W	461	"9% от всех опубл. тарифов на собств.рейсы 7W
5% от всех опубл. тарифов на рейсы Interline c участком 7W"				
59.	JET AIRWAYS (Авиарепс)	9W	589	"1% от опубл. тарифов на собств.рейсы 9W
1% от опубл. тарифов на рейсы Interline с участком 9W (Выписка без участка 9W запрещена.)"				
21.	AMERICAN AIRLINES	AA	001	"1% от опубл. тарифа на собственные рейсы AA, кроме:
0% от опубл. тарифов по маршрутам из 50 штатов США (включая Пуэрто Рико/Виргинские острова (США) и Канады; 
0% от тарифов VUSA, N1VISIT и N2VISIT."				
10.	AIR BERLIN	AB	745	1 руб с билета по опубл. тарифам на рейсы AB (В договоре Interline не прописан.)				
11.	AIR CANADA (НЕ BSP!!!)	AC	AC	"5% от опубл. тарифов на рейсы АС из России и Европы;
0% от опубл. тарифов на внутренние рейсы по Канаде, а также на международные рейсы из Канады и США "				
14.	AIR FRANCE 	AF	057	"1 euro с билета на рейсы AF. Вознаграждение не выплачивается за любые тарифы net.
(Билеты Interline могут быть выписаны на бланках AF только в случае существования действующего интерлайн соглашения, официально опубл. тарифов и только при условии, если КЛМ или авиакомпания Эр Франс участвуют в одном из сегментов перевозки.) "				
5.	AEROMEXICO	AM	139	"9% от всех опубл. тарифов на рейсы AM;
новые тарифы экономического класса в Мексику через Европу:
• Q, K, S, M 
• До Парижа/Мадрида – SU, AF, UX
• 9 % комиссии при условии одного трансатлантического рейса в бронировании 
вместе с SU, AF, UX и на собственные рейсы авиакомпании "				
46.	FINNAIR 	AY	105	1 руб. с билета на рейсы AY (Билеты «Интерлайн» под кодом АY могут быть выписаны только в случае использования опубл. тарифов или тарифов ИАТА и только при условии, если АY выполняет хотя бы один рейс при наличии действующих «Интерлайн» соглашений с другими а/к, задействованными в перевозке.)				
20.	ALITALIA  	AZ	055	"1 euro. с билета по опубл. тарифам на собств. рейсы AZ;
1 euro с билета по опубл. тарифам на рейсы Interline, если 1-ый сегмент выполнен под кодом AZ."
25.	Belavia	B2	628	"5% от всех опубл. тарифов на собств. рейсы B2;
3% от опубл. тарифов на рейсы “SAS” по маршрутам между Данией, Швецией, Норвегией, Гренландией и по внутренним маршрутам Дании, Швеции и Норвегии;
3% от опубл. тарифов на внутренние рейсы РФ авиакомпании “Аэрофлот”;
3% от опубл. тарифов Lufthansa на внутренние рейсы Германии;
3% от опубл. тарифов LOT Polish Airlines на внутренние рейсы Польши;
3% от опубл. тарифов Alitalia на внутренние рейсы Италии."
26.	BRITISH AIRWAYS (См. в конце таблицы продолжение в 4-х частях)	BA	125	"1 euro с билета по опубл. тарифам на собств. рейсы BA;
1 euro с билета по опубл. тарифам на рейсы Interline, с участком BA. (British Airways и другие перевозчики (oneworld и авиакомпании имеющие договор interline с British Airways), выписанные на одном бланке. Правило первого перевозчика не является обязательным, то есть первый перелет может быть выполнен другой авиакомпанией. Не  разрешается использование бланков ВА для выписки других перевозчиков (даже авиакомпаний членов альянса oneworld, кроме Qantas) без участия ВА. Нарушение этого правила повлечет за собой ADM на сумму GBP 25."
28.	BMI	BD	236	7% от опубл. тарифов на собств. рейсы BD. (В договоре Interline не прописан.)
71.	ROYAL BRUNEY AIRLINES	BI	672	1% от опубл. тарифов на собств. рейсы BI (В договоре Interline не прописан.)
9.	AIR BALTIC 	BT	657	1 руб. с билета по всем опубл. тарифам на собств. рейсы BT и рейсы Interline с участком BT
12.	AIR CHINA 	CA	999	1 евро за билет, выписанный c началом  перевозки от пунктов РФ;
31.	China Airlines	CI	297	1% от всех опубл. тарифов на рейсы CI (В договоре Interline отдельно не прописан.)
30.	CATHAY PACIFIC (Тальавиэйшн)	CX	160	"7% от опубл. тарифов на собств. рейсы CX и рейсы Interline c участком СX. Можно выписывать на бланках CX других авиаперевозчиков (при условии действующего интерлайна), если: - хотя бы один перелет совершается авиакомпанией CX,
- перелет на другом перевозчике является связующим билетом к основному перелету на авиакомпании CX.
1 руб. от туроператорских тарифов. (Тарифы можно использовать строго при наличии ваучера у пассажира)."
36.	CYPRUS AIRWAYS	CY	048	9% от всех опубл. тарифов на рейсы CY. (В договоре Interline не прописан.)
33.	CHINA SOUTHERN	CZ	784	"9% от тарифа на рейсы, полностью выполняемые CZ;
7% от тарифа на рейсы CZ с участием других перевозчиков;
0% от тарифа на рейсы Interline без участка СZ."
2.	ДОНАВИА	D9	733	"7% от опубл. тарифов эконом класса на собств. рейсы D9
9% от опубл. тарифов бизнес класса на собств. рейсы D9
2% от опубл. тарифов на рейсы Interline с участком D9"
37.	Condor Flugdienst (Авиарепс)	DE	881	1% от всех опубл. тарифов на рейсы DE. (В договоре Interline не прописан.)
38.	DELTA AIRLINES 	DL	006	"1% от опубл. тарифа DL на трансатлантический перелет при перевозке, начинающейся в Европе, Азии или Африке; 
1% от опубл. тарифа других авиакомпаний в комбинации с опубл. тарифом DL на трансатлант.перелет при перевозке, нач.в Европе, Азии или Африке;
1% от опубл. тарифа на рейсы Interline без участка DL.
1% от опубл. тарифа DL при внутренних перелетах по США
0% на перевозки, нач.в США (включая Пуэрто Рико, Острова Вирджинии и Канада)
с 01.10.10г. по 31.12.2010 г. 
к стандартной комиссии БСП 1%  добавляет 7% по направлениям Russian Federation: WORLD 
по всем классам, кроме Т
-Дополнительная комиссия выплачивается только с началом перевозки из РОССИИ.
-Дополнительная комиссия взимается в дополнение к стандартной комиссии  ИАТА 1% в пункте продаж. 
-Если агентство не потребовало комиссию в момент продажи билета, эту комиссию НЕЛЬЗЯ потребовать задним числом позже.
-Комиссия  начисляется, если вся поездка в рамках международного тарифа осуществляется Дельтой.
Уточнение по доп.комиссии от Перевозчика:
1. Билеты должны иметь надпись “Не подлежат использованию на рейсах других авиакомпаний - возврат оформляется только “Delta"" или перевозчиком, выпускающим билет.
2. Перелёт может быть в одну сторону или туда - обратно. 
3. Скидка, предоставляемая в пунктах продаж, предоставляется, если всё путешествие происходит на Delta. 
4. Скидка, предоставляемая в пунктах продаж, будет рассчитываться по опубликованным тарифам бронирования в классах обслуживания, указанных выше. 
5. Скидка, предоставляемая в пунктах продаж, должна рассчитываться по базовому тарифу без учёта любых сборов  (включая YQ):  аэропортовых сборов, сервисных сборов, пассажирских сборов и других аналогичных сборов. 
ИСКЛЮЧЕНИЯ 
1. Скидки не предоставляются по настоящему договору на следующее:
o Тарифы для студентов или военнослужащих. 
o Корпоративные скидки.
o Блокировка мест для групп.
o Опубликованные тарифы «Вокруг света»
o Договорные/Интернет тарифы, опубликованные тарифы, применяемые с кодом тарифа, или любые другие специальные программы тарифов и скидок.
o Раздельный выпуск билета (напр., стыковка билета с вылетом из Мексики с билетом с вылетом из Европы для получения дохода от изменения курса валюты и/или изменений тарифа), не разрешается. 
o Билеты, для оплаты которых или части которых применялась Delta Equity Card/Northwest Barter Card."
42.	EMIRATES	EK	176	"5% от тарифов Первого и Бизнес классов на рейсы EK;
5% от комб. тарифов Первого и/или Бизнес класса с тарифами Эконом класса на рейсы EK;
1 руб. с билета по опубл.тарифам Эконом класса на рейсы EK.
(Билеты «Интерлайн» могут быть выписаны, если на долю перевозчика приходится более 50% маршрута.)"
45.	Ethiopian Airlines Enterprise  (АВИАРЕПС)	ET	071	"7% от опубл. тарифов на собств. рейсы ET
5 % от опубл. тарифов на рейсы Interline с участком ET
0 % от опубл. тарифов на рейсы Interline без участка ET"
44.	ETIHAD AIRWAYS	EY	607	5% от опубл. тарифов на собств. рейсы EY (В договоре Interline не прописан.)
47.	FLY BABOO (РИНГ АВИА)	F7	033	"1% от опубл. тарифов на собств.рейсы F7
1% от опубл. тар. на рейсы Interline c участком F7
1% от опубл. тар. на рейсы Interline без участка F7"
29.	BULGARIA AIR	FB	623	4% от опубл. тарифов на собств. рейсы FB. (В договоре Interline не прописан.)
54.	ICELANDAIR  (РИНГ АВИА)	FI	108	1% от всех опубл. тарифов на рейсы FI (В договоре Interline не прописан.)
72.	RUSSIA	FV	195	"До 31.10.2010г.
8% от опубл. тарифов на собств. рейсы FV и рейсы Interline c участком FV
1 euro с билета на рейсы Interline без участка FV.
С 01.11.2010г.
7% от опубл. тарифов на собств. рейсы FV и рейсы Interline c участком FV
1 euro с билета на рейсы Interline без участка FV.
C 01.10.2010 года по 31.03.2011 года 
9% при продаже пассажирских перевозок в бизнес-классе на рейсы ФГУП «ГТК «Россия» (FV) на направлениях Санкт-Петербург-Москва и обратно, включая рейсы по соглашению «CODE-Share» (в том числе по тарифам ИАТА)."
48.	GULF AIR (Глонасс) (НЕ BSP!!!)	GF		"5% от тарифа на международные рейсы GF
3,5% от тарифа на рейсы GF между аэропортами Персидского залива"
7.	AIR SEYCHELLES (АВИАРЕПС)	HM	061	1% от опубл. тарифа на собств. рейсы HM (В договоре Interline не прописан.)
49.	HAHN AIR  (Авиарепс) 	HR	169	"1 руб. от тарифов, опубликованных в системе бронирования, для авиакомпании Hahn Air и интерлайн-партнеров Hahn Air, указанных на сайте www.HR-ticketing.com; 
1 руб. от тарифов Allairpass, расчитываемых на сайте www.allairpass.com, для авиакомпании Hahn Air и интерлайн-партнеров Hahn Air, указанных на сайте www.HR-ticketing.com
Проверять интерлайн при бронировании и выписке через сайт www.hr-ticketing.com"
50.	HAINAN AIRLINES	HU	880	9% от всех опубл. тарифов на рейсы HU (В договоре Interline не прописан.)
52.	Hong Kong Airlines 	HX	851	7% от всех опубл. тарифов на собств.рейсы HX (В договоре Interline не прописан.)
	UZBEKISTAN AIRWAYS (Узбекистон Хаво Йуллари) (НЕ BSP!!!)	HY		"5% от опубл. тарифов на собств. рейсы HY
2% от опубл. тарифов на рейсы Interline"
53.	IBERIA 	IB	075	1 руб. с билета на рейсы IB (В договоре Interline не прописан.)
66.	MERIDIANA (РИНГ-АВИА)	IG	191	5% от опубл. тарифов на собств.рейсы IG (В договоре Interline не прописан.)
93.	YEMENIA YEMEN AIRWAYS	IY	635	1% от опубл. тарифов на собств. рейсы IY (В договоре Interline отдельно не прописан.)
84.	TAM Linhas Aereas S.A.	JJ	957	1% от всех опубл. тарифов на собств. рейсы JJ (В договоре Interline не прописан.)
57.	JAPAN AIRLINES INTERNATIONAL	JL	131	"7% от опубл. тарифа; 
7% от тарифов бизнес и первого классов;
7% от тарифов в третьи страны (транзит) и спец.тарифов в Японию ‘Сатогаери’
5% от спец. тарифа при наличии совместных рейсов JAL, выполняемых другими авиакомпаниями;
5% от спец. тарифов в Японию (включая, но не ограничиваясь, ‘Дисковер Джапэн’, молодежные тарифы);
5% от тарифов на внутренние рейсы по Японии
7% от опубл. тарифа в случае наличия рейсов других авиакомпаний;
Оформление авиабилетов на бланках JAL по Interline  (в случае наличия рейсов других авиакомпаний) возможно  при условии  наличия  соглашения с соответствующей авиакомпанией и хотя бы одного сегмента с международным рейсом JAL.
Комиссия 7%, в этом случае,  выплачивается только, если авиабилет оформлен по опубликованным тарифам IATA (если при расчете тарифа используются  carrier fares  
других авиакомпаниях, то комиссия с них не выплачивается)."
4.	ADRIA AIRWAYS	JP	165	1 руб. с билета на рейсы JP (В договоре Interline не прописан.)
58.	JAT AIRWAYS	JU	115	80 руб. с билета на собств.рейсы JU (В договоре Interline отдельно не прописан.)
7.	Air Astana	KC	465	"5% от тарифа по маршрутам внутри Республики Казахстан;
7% от прямых опубликованных тарифов по международным маршрутам;
7% от сквозных опубликованных тарифов по международным маршрутам;
7% от сквозных опубликованных тарифов, установленных в соответствии со специальным прорейтовым соглашением с другой авиакомпанией, по международным маршрутам; 
6% от опубликованных тарифов при их комбинации END-ON-END (внутренний тариф + международный тариф) за продажу перевозки по внутреннему и международному маршрутам, оформленным в одном авиабилете; 
5% от тарифов на рейсы Interline без сегмента КС;
7% от тарифов на рейсы Interline в комбинации с рейсом KC по всему маршруту;
• на период с 01.08.2010 по 30.11.2010г. на собственные рейсы по маршрутам:
• Москва – Алматы - Москва; • Москва - Астана – Москва
 И комбинации с этими городами.
Повышенная комиссия Агента 9 (девять) % от тарифа"
61.	KOREAN AIR	KE	180	"9% от опубл. тарифов на рейсы KE, кроме внутренних рейсов по Корее;
5% от опубл. тарифов на внутренние рейсы KE по Корее."
60.	KLM 	KL	074	1 euro с билета на рейсы KL. Вознаграждение не выплачивается за любые тарифы net. (Билеты Interline могут быть выписаны на бланках KLM только в случае существования действующего интерлайн соглашения, официально опубл. тарифов и только при условии, если КЛМ или авиакомпания Эр Франс участвуют в одном из сегментов перевозки.)
15.	AIR MALTA  (Авиарепс)	KM	643	"1% от опубл. тарифов на собств. рейсы KM
1% от опубл. тарифов на рейсы Interline"
62.	LAN Airlines	LA	0,45	"1 руб. с билета по опубл. тарифам на собств. рейсы LA 
1 руб. с билета по опубл. тарифам на рейсы Interline c участком LA. Interline под кодом LA может быть выписан только при условии, что LA выполняет как минимум один рейс. За несоблюдение данного условия будет начислен штраф в размере EUR200. 
Оформление отдельного авиабилета на рейсы других перевозчиков в пределах региона Южная и Центральная Америка на электронном стоке  LA ВОЗМОЖНО при условии, что внешний участок, т.е. межконтинентальный перелет, осуществляется авиакомпанией LAN. При выписке разными бланками внешнего и внутренних перелетов, все сегменты должны фигурировать в одном бронировании. 
Также необходимо проверять наличие MITA и BITA соглашений. В других случаях оформление авиабилетов по интерлайн соглашению на электронном стоке авиакомпании LAN Airlines (045) не разрешено.
Комиссия при оформлении авиабилетов по Interline на электронном стоке авиакомпании LAN Airlines (045) во всех случаях составляет 1 руб. Авиакомпания вправе начислить штраф (ADM) за нарушение правил оформленная билета, неверную калькуляцию и т.п."
64.	LUFTHANSA 	LH	220	1 руб. с билета по опубл. тарифам на собств. рейсы LH и рейсы Interline с участком LH. (Билеты Interline под кодом LH могут быть выписаны только в случае существования опубл. тарифов и только при условии, что LH выполняет как минимум один рейс. В противном случае по билету должна быть сделана доплата до полного опублик. IATA тарифа)
63.	LOT	LO	080	"1 euro с билета по опубл. тарифам на рейсы LO;
С 01.11.2010 года: 5% от тарифа на маршруты только между Россией и Польшей. 
1 euro с билета по опубл. тарифам на рейсы Interline с участком LO."
82.	SWISS  	LX	724	"1 руб. с билета по опубл. тарифам на собств. рейсы LX и рейсы Interline с уч. LX.
(Билеты Interline под кодом LX могут быть выписаны только в случае существования опубл. тарифов и только при условии, что LX выполняет как минимум один рейс. В противном случае по билету должна быть сделана доплата до полного опублик. IATA тарифа)"
41.	EL AL ISRAEL AIRLINES	LY	114	"5% от опубл. тарифов Эконом класса на рейсы LY
9,7% от опубл. тарифов Бизнес класса на рейсы LY"
